tracking_id	female_flower_early_0	female_flower_early_3	female_flower_early_1	female_flower_early_2	female_flower_late_1	female_flower_late_0
Zosma177g00330	329.331	295.133	348.379	348.304	291.141	288.735
Zosma177g00340	48.9914	67.3419	66.0086	51.9857	29.7676	50.6787
Zosma177g00350	273.535	348.421	392.908	842.169	370.279	286.735
Zosma177g00360	1477.23	2504.53	1792.19	1894.23	3522.74	2421.24
Zosma177g00390	746.439	709.725	739.192	736.248	603.338	768.85
Zosma177g00400	416.427	482.519	447.916	552.998	355.759	452.775
Zosma177g00440	643.012	705.626	656.419	828.522	866.889	738.843
Zosma177g00450	49.6719	87.8372	47.6729	85.1266	53.0008	58.0138
Zosma177g00470	504.203	744.274	599.84	635.525	1063.65	708.836
Zosma177g00480	127.242	97.2065	82.2488	154.008	102.371	128.697
Zosma177g00490	178.274	140.54	199.074	192.997	168.441	136.699
Zosma177g00500	719.221	639.455	843.967	634.876	722.408	654.156
Zosma178g00010	59.198	93.693	60.246	96.8234	84.9465	69.3499
Zosma178g00030	309.599	221.935	323.757	344.405	293.319	224.053
Zosma178g00050	758.686	505.942	444.772	278.124	516.939	576.137
Zosma178g00060	489.234	414.006	376.144	398.99	449.418	359.419
Zosma178g00080	223.183	245.359	150.353	134.513	152.468	212.717
Zosma178g00090	111.592	11.126	76.4862	38.3395	29.0415	22.0052
Zosma178g00100	237.472	124.143	166.069	176.102	193.852	123.363
Zosma178g00110	205.492	220.764	220.553	216.391	210.551	190.045
Zosma178g00120	198.007	275.223	200.121	257.979	265.004	347.416
Zosma178g00130	367.436	483.105	442.677	673.865	528.556	496.785
Zosma178g00140	19.0522	370.087	52.9117	42.8882	378.992	528.126
Zosma178g00150	330.012	335.538	270.845	289.82	333.251	295.404
Zosma178g00160	99.3437	151.08	122.587	144.91	143.03	118.695
Zosma178g00180	12.9283	29.2791	0.523878	0.649821	29.7676	20.0048
Zosma178g00190	864.835	843.823	873.304	899.353	705.709	754.18
Zosma178g00200	283.062	330.854	271.893	263.827	389.156	425.435
Zosma178g00210	319.805	286.349	243.603	202.744	319.457	407.43
Zosma178g00220	250.401	281.079	255.652	252.131	265.73	345.416
Zosma178g00230	311.64	330.268	344.188	316.463	317.279	416.099
Zosma178g00240	1379.92	854.949	1097.52	662.818	931.507	1414.34
Zosma178g00250	93.9002	29.8647	42.958	41.5886	20.3291	42.01
Zosma178g00260	11.5674	16.3963	7.33429	6.49821	8.71246	73.3508
Zosma178g00270	64.6414	43.9186	33.5282	26.6427	54.4529	75.3513
Zosma178g00310	21.774	138.783	28.8133	9.74732	97.2891	186.044
Zosma178g00330	39.4653	318.556	51.8639	103.971	235.236	348.083
Zosma178g00350	93.9002	73.1977	112.634	72.78	119.796	86.6873
Zosma178g00360	715.139	1188.14	637.559	303.467	2274.68	1246.96
Zosma178g00370	2.04131	24.0088	0	0.649821	5.08227	24.6725
Zosma178g00410	266.051	253.557	297.563	335.958	307.84	284.068
Zosma178g00450	331.372	270.539	272.416	267.077	113.262	252.06
Zosma178g00460	326.609	360.718	401.29	393.792	376.088	318.743
Zosma178g00470	182.357	151.666	161.354	176.751	177.879	158.704
Zosma178g00490	132.005	4.68465	2.61939	3.89893	2.17811	3.33413
Zosma178g00530	207.533	154.594	183.357	198.196	207.647	148.035
Zosma178g00540	125.2	122.387	141.971	126.065	99.4672	130.698
Zosma179g00010	57.8371	105.99	50.8162	93.5743	68.9736	66.6826
Zosma179g00040	83.0132	91.9363	51.34	207.293	227.976	77.3518
Zosma179g00050	6206.26	3601.33	7694.72	6381.25	5578.15	3784.23
