tracking_id	vegetative_0	vegetative_1	vegetative_5	vegetative_4	vegetative_3	vegetative_2
Zosma50g00810	19.8399	139.17	17.219	196.282	15.9585	56.5767
Zosma50g00820	249.416	143.229	293.629	144.961	240.375	221.781
Zosma50g00830	0	88.7209	1.81253	0	0	0
Zosma50g00850	786.511	306.754	627.134	325.036	758.029	461.666
Zosma50g00860	273.507	347.925	357.974	596.951	306.204	561.241
Zosma50g00870	187.062	276.6	208.441	175.574	181.528	96.1804
Zosma50g00880	1.41714	81.1825	0.906264	3.60151	0.997406	5.65767
Zosma50g00890	189.896	157.726	233.816	151.263	182.525	143.705
Zosma50g00900	1371.79	2992.74	2425.16	3108.1	793.935	277.226
Zosma50g00930	337.279	234.849	299.973	217.891	342.11	311.172
Zosma50g00960	3856.03	1164.97	2661.7	1889.89	3967.68	1689.38
Zosma50g00970	0	1384.74	0.906264	127.854	0.997406	9.05228
Zosma50g00980	225.325	522.468	357.974	826.547	333.134	790.943
Zosma50g00990	31.177	536.385	50.7508	695.992	21.9429	126.732
Zosma50g01000	1.41714	6912.11	2.71879	24.3102	1.99481	1.13153
Zosma50g01010	680.226	382.138	954.296	496.108	695.192	956.147
Zosma50g01040	3466.32	2043.48	2876.48	1324.46	2831.64	1276.37
Zosma50g01050	93.531	478.977	90.6264	374.557	79.7925	192.361
Zosma50g01070	2.83427	1689.18	3.62505	1862.88	2.99222	13.5784
Zosma50g01080	0	58.5674	0.906264	0.900378	0	0
Zosma50g01090	1.41714	156.566	3.62505	7.20302	4.98703	22.6307
Zosma50g01100	12718.8	3450.84	7097.86	2178.91	13660.5	4144.81
Zosma513g00040	7.08569	1.15975	70.6886	34.2144	9.97406	31.683
Zosma513g00050	41.097	1292.54	33.5318	2272.55	28.9248	814.705
Zosma513g00060	94.9482	356.043	96.9702	223.294	63.834	50.9191
Zosma515g00050	94.9482	0.579875	60.7197	17.1072	158.588	2.26307
Zosma519g00010	55.2683	24.3548	72.5011	33.314	57.8496	16.973
Zosma519g00020	2984.49	477.817	3247.14	1158.79	3078.99	2605.92
Zosma519g00030	5.66855	1335.45	5.43758	262.91	1.99481	15.8415
Zosma519g00040	212.571	60.8869	247.41	108.045	266.307	585.003
Zosma51g00020	137.462	44.6504	94.2514	65.7276	118.691	92.7858
Zosma51g00030	770.923	1114.52	554.633	547.43	811.889	251.201
Zosma51g00050	364.204	916.783	386.068	1484.72	256.333	942.568
Zosma51g00060	0	354.304	8.15637	151.263	1.99481	26.0253
Zosma51g00080	267.839	409.392	269.16	496.108	302.214	446.956
Zosma51g00100	362.787	265.583	376.099	368.255	394.973	377.933
Zosma51g00110	1492.25	405.333	1487.18	967.906	1852.18	1465.34
Zosma51g00130	143.131	52.7686	141.377	76.5321	129.663	99.575
Zosma51g00150	148.799	701.649	183.972	747.314	105.725	945.963
Zosma51g00190	130.377	229.631	87.0013	94.5397	77.7977	37.3406
Zosma51g00200	96.3653	92.2002	90.6264	78.3329	107.72	75.8128
Zosma51g00210	1428.47	820.523	1759.96	1059.74	1702.57	1747.09
Zosma51g00220	848.865	137.43	553.727	323.236	693.197	317.961
Zosma51g00240	1649.55	1196.28	1611.34	1611.68	1577.9	1619.23
Zosma51g00250	22.6742	33.0529	12.6877	5.40227	17.9533	2.26307
Zosma51g00260	0	106.697	0.906264	19.8083	0.997406	14.71
Zosma51g00270	1.41714	110.176	0	210.688	0	0
Zosma51g00280	148.799	60.307	145.908	117.049	165.569	159.546
Zosma51g00320	7360.61	1374.88	18310.1	12680.9	10493.7	40471.6
Zosma51g00390	141.714	76.5435	144.096	72.0302	138.639	76.9444
Zosma51g00400	399.633	240.648	341.661	227.796	473.768	269.305
Zosma51g00410	53.8512	190.199	58.9071	136.857	74.8055	18.1046
Zosma51g00440	918.305	503.332	939.795	689.689	962.497	773.97
Zosma51g00450	1174.81	172.803	1458.18	528.522	1618.79	2138.6
Zosma51g00460	9.91996	78.863	3.62505	99.0416	7.97925	46.3929
Zosma522g00010	60.9369	35.9523	92.4389	32.4136	45.8807	33.946
Zosma522g00050	24.0913	270.802	19.9378	269.213	27.9274	36.2091
Zosma522g00060	76.5254	114.235	83.3763	130.555	99.7406	80.339
Zosma527g00030	4656.71	2001.73	7114.17	5635.47	3951.72	12932.3
Zosma52g00010	0	67.2655	1.81253	2.70113	3.98962	4.52614
Zosma52g00020	0	126.993	2.71879	2.70113	0.997406	0
Zosma52g00030	0	38.2718	0	2.70113	0	0
Zosma52g00050	56.6855	10.4378	56.1883	32.4136	100.738	15.8415
Zosma52g00060	5.66855	66.1058	24.4691	264.711	27.9274	1.13153
Zosma52g00090	527.175	978.829	481.226	1075.95	388.988	303.251
Zosma52g00110	705.734	527.686	582.727	492.507	560.542	514.848
